,Team_ID,Game_ID,GAME_DATE,MATCHUP,WL,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,TEAM,OPP,Team_ID_OPP,win?,FGM_OPP,FGA_OPP,FG_PCT_OPP,FG3M_OPP,FG3A_OPP,FG3_PCT_OPP,FTM_OPP,FTA_OPP,FT_PCT_OPP,OREB_OPP,DREB_OPP,REB_OPP,AST_OPP,STL_OPP,BLK_OPP,TOV_OPP,PF_OPP,PTS_OPP,OREB%,DREB%_OPP,DREB%,OREB%_OPP,FGM_diff,FGA_diff,FG_PCT_diff,FG3M_diff,FG3A_diff,FG3_PCT_diff,FTM_diff,FTA_diff,FT_PCT_diff,OREB_diff,DREB_diff,OREB%_diff,DREB%_diff,REB_diff,AST_diff,STL_diff,BLK_diff,TOV_diff,PF_diff,PTS_diff
26,1610612737,22000705,2021-03-28,ATL @ DEN,L,23,23,0.5,240,36,76,0.474,12,34,0.353,18,21,0.857,2,29,31,18,7,3,11,16,102,ATL,DEN,1610612743,0,50,92,0.543,15,36,0.417,11,16,0.688,15,34,49,32,7,3,10,15,126,0.06,0.94,0.66,0.33999999999999997,-14,-16,-0.06900000000000006,-3,-2,-0.064,7,5,0.16900000000000004,-13,-5,-0.27999999999999997,-0.2799999999999999,-18,-14,0,0,1,1,-24
27,1610612737,22000692,2021-03-26,ATL @ GSW,W,23,22,0.511,240,46,84,0.548,13,33,0.394,19,24,0.792,8,37,45,31,6,5,10,23,124,ATL,GSW,1610612744,1,39,79,0.494,12,28,0.429,18,26,0.692,5,28,33,29,7,4,12,22,108,0.22,0.78,0.88,0.12,7,5,0.05400000000000005,1,5,-0.034999999999999976,1,-2,0.10000000000000009,3,9,0.1,0.09999999999999998,12,2,-1,1,-2,1,16
28,1610612737,22000677,2021-03-24,ATL @ SAC,L,22,22,0.5,240,41,85,0.482,7,25,0.28,19,23,0.826,11,31,42,17,5,3,13,20,108,ATL,SAC,1610612758,0,40,84,0.476,10,30,0.333,20,22,0.909,12,30,42,21,5,6,16,16,110,0.27,0.73,0.72,0.28,1,1,0.006000000000000005,-3,-5,-0.05299999999999999,-1,1,-0.08300000000000007,-1,1,-0.010000000000000009,-0.010000000000000009,0,-4,0,-3,-3,4,-2
29,1610612737,22000660,2021-03-22,ATL @ LAC,L,22,21,0.512,240,43,95,0.453,12,34,0.353,12,16,0.75,15,33,48,21,3,3,7,18,110,ATL,LAC,1610612746,0,42,85,0.494,17,38,0.447,18,20,0.9,8,36,44,26,4,7,8,16,119,0.29,0.71,0.8,0.19999999999999996,1,10,-0.04099999999999998,-5,-4,-0.09400000000000003,-6,-4,-0.15000000000000002,7,-3,0.09000000000000002,0.09000000000000008,4,-5,-1,-4,-1,2,-9
30,1610612737,22000640,2021-03-20,ATL @ LAL,W,22,20,0.524,240,39,98,0.398,13,37,0.351,8,9,0.889,16,33,49,26,13,7,8,21,99,ATL,LAL,1610612747,1,34,81,0.42,8,26,0.308,18,24,0.75,13,39,52,18,6,3,16,16,94,0.29,0.71,0.72,0.28,5,17,-0.021999999999999964,5,11,0.04299999999999998,-10,-15,0.139,3,-6,0.009999999999999953,0.010000000000000009,-3,8,7,4,-8,5,5
31,1610612737,22000626,2021-03-18,ATL vs. OKC,W,21,20,0.512,240,47,87,0.54,11,33,0.333,11,13,0.846,6,44,50,26,6,7,14,16,116,ATL,OKC,1610612760,1,34,93,0.366,13,34,0.382,12,16,0.75,11,27,38,18,5,3,9,13,93,0.18,0.8200000000000001,0.8,0.19999999999999996,13,-6,0.17400000000000004,-2,-1,-0.04899999999999999,-1,-3,0.09599999999999997,-5,17,-0.019999999999999962,-0.020000000000000018,12,8,1,4,5,3,23
32,1610612737,22000613,2021-03-16,ATL @ HOU,W,20,20,0.5,240,44,86,0.512,17,37,0.459,14,16,0.875,9,29,38,32,8,6,12,18,119,ATL,HOU,1610612745,1,42,88,0.477,13,34,0.382,10,13,0.769,10,27,37,27,6,6,13,19,107,0.25,0.75,0.74,0.26,2,-2,0.03500000000000003,4,3,0.07700000000000001,4,3,0.10599999999999998,-1,2,-0.010000000000000009,-0.010000000000000009,1,5,2,0,-1,-1,12
33,1610612737,22000597,2021-03-14,ATL vs. CLE,W,19,20,0.487,240,32,71,0.451,12,29,0.414,24,26,0.923,12,37,49,21,4,6,15,21,100,ATL,CLE,1610612739,1,31,81,0.383,8,30,0.267,12,23,0.522,14,20,34,19,4,5,13,18,82,0.38,0.62,0.73,0.27,1,-10,0.068,4,-1,0.14699999999999996,12,3,0.401,-2,17,0.10999999999999999,0.10999999999999999,15,2,0,1,2,3,18
34,1610612737,22000590,2021-03-13,ATL vs. SAC,W,18,20,0.474,240,43,84,0.512,12,33,0.364,23,33,0.697,13,32,45,21,6,2,8,17,121,ATL,SAC,1610612758,1,43,98,0.439,7,36,0.194,13,16,0.813,22,25,47,27,5,1,12,26,106,0.34,0.6599999999999999,0.59,0.41000000000000003,0,-14,0.07300000000000001,5,-3,0.16999999999999998,10,17,-0.11599999999999999,-9,7,-0.07,-0.06999999999999995,-2,-6,1,1,-4,-9,15
35,1610612737,22000570,2021-03-11,ATL @ TOR,W,17,20,0.459,240,39,90,0.433,15,42,0.357,28,35,0.8,12,41,53,20,8,13,14,26,121,ATL,TOR,1610612761,1,42,96,0.438,17,37,0.459,19,23,0.826,13,37,50,23,8,4,14,25,120,0.24,0.76,0.76,0.24,-3,-6,-0.0050000000000000044,-2,5,-0.10200000000000004,9,12,-0.025999999999999912,-1,4,0.0,0.0,3,-3,0,9,0,1,1
